Cod_Operadora;Operadora;UF;qtd_beneficiarios
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Alagoas;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Amapá;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Amazonas;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Bahia;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Ceará;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Espírito Santo;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Goiás;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Maranhão;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Mato Grosso;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Mato Grosso do Sul;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Pará;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Paraíba;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Paraná;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Pernambuco;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Piauí;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Rio Grande do Norte;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Rio Grande do Sul;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Rondônia;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Roraima;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Santa Catarina;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Sergipe;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Tocantins;0
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Minas Gerais;31828
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Rio de Janeiro;4171
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Bahia;1496
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;São Paulo;1485
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Mato Grosso do Sul;244
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Espírito Santo;39
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Ceará;18
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Goiás;10
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Maranhão;9
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Paraná;8
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Santa Catarina;8
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Pará;7
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Rio Grande do Sul;5
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Pernambuco;3
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Distrito Federal;2
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Rio Grande do Norte;2
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Acre;0
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Alagoas;0
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Amapá;0
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Amazonas;0
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Mato Grosso;0
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Paraíba;0
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Piauí;0
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Rondônia;0
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Roraima;0
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Sergipe;0
314668;ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS;Tocantins;0
335657;ADVANCE PLANOS DE SAUDE LTDA;São Paulo;2280
335657;ADVANCE PLANOS DE SAUDE LTDA;Santa Catarina;5
335657;ADVANCE PLANOS DE SAUDE LTDA;Minas Gerais;3
335657;ADVANCE PLANOS DE SAUDE LTDA;Paraná;2
335657;ADVANCE PLANOS DE SAUDE LTDA;Rio de Janeiro;2
335657;ADVANCE PLANOS DE SAUDE LTDA;Ceará;1
335657;ADVANCE PLANOS DE SAUDE LTDA;Pará;1
335657;ADVANCE PLANOS DE SAUDE LTDA;Rio Grande do Sul;1
335657;ADVANCE PLANOS DE SAUDE LTDA;Acre;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Alagoas;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Amapá;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Amazonas;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Bahia;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Distrito Federal;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Espírito Santo;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Goiás;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Maranhão;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Mato Grosso;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Mato Grosso do Sul;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Paraíba;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Pernambuco;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Piauí;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Rio Grande do Norte;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Rondônia;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Roraima;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Sergipe;0
335657;ADVANCE PLANOS DE SAUDE LTDA;Tocantins;0
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Minas Gerais;14837
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Distrito Federal;35
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Rio de Janeiro;32
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;São Paulo;22
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Espírito Santo;20
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Bahia;11
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Santa Catarina;3
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Pernambuco;2
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Sergipe;2
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Tocantins;2
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Mato Grosso do Sul;1
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Paraná;1
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Acre;0
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Alagoas;0
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Amapá;0
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Amazonas;0
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Ceará;0
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Goiás;0
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Maranhão;0
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Mato Grosso;0
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Pará;0
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Paraíba;0
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Piauí;0
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Rio Grande do Norte;0
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Rio Grande do Sul;0
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Rondônia;0
368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;Roraima;0
416975;ALCANCE SAUDE EIRELI;São Paulo;4628
416975;ALCANCE SAUDE EIRELI;Santa Catarina;4
416975;ALCANCE SAUDE EIRELI;Bahia;3
416975;ALCANCE SAUDE EIRELI;Mato Grosso do Sul;1
416975;ALCANCE SAUDE EIRELI;Acre;0
416975;ALCANCE SAUDE EIRELI;Alagoas;0
416975;ALCANCE SAUDE EIRELI;Amapá;0
416975;ALCANCE SAUDE EIRELI;Amazonas;0
416975;ALCANCE SAUDE EIRELI;Ceará;0
416975;ALCANCE SAUDE EIRELI;Distrito Federal;0
416975;ALCANCE SAUDE EIRELI;Espírito Santo;0
416975;ALCANCE SAUDE EIRELI;Goiás;0
416975;ALCANCE SAUDE EIRELI;Maranhão;0
416975;ALCANCE SAUDE EIRELI;Mato Grosso;0
416975;ALCANCE SAUDE EIRELI;Minas Gerais;0
416975;ALCANCE SAUDE EIRELI;Pará;0
416975;ALCANCE SAUDE EIRELI;Paraíba;0
416975;ALCANCE SAUDE EIRELI;Paraná;0
416975;ALCANCE SAUDE EIRELI;Pernambuco;0
416975;ALCANCE SAUDE EIRELI;Piauí;0
416975;ALCANCE SAUDE EIRELI;Rio de Janeiro;0
416975;ALCANCE SAUDE EIRELI;Rio Grande do Norte;0
416975;ALCANCE SAUDE EIRELI;Rio Grande do Sul;0
416975;ALCANCE SAUDE EIRELI;Rondônia;0
416975;ALCANCE SAUDE EIRELI;Roraima;0
416975;ALCANCE SAUDE EIRELI;Sergipe;0
416975;ALCANCE SAUDE EIRELI;Tocantins;0
421928;ALICE OPERADORA LTDA.;São Paulo;10710
421928;ALICE OPERADORA LTDA.;Minas Gerais;42
421928;ALICE OPERADORA LTDA.;Rio de Janeiro;41
421928;ALICE OPERADORA LTDA.;Santa Catarina;33
421928;ALICE OPERADORA LTDA.;Paraná;23
421928;ALICE OPERADORA LTDA.;Distrito Federal;21
421928;ALICE OPERADORA LTDA.;Bahia;18
421928;ALICE OPERADORA LTDA.;Rio Grande do Sul;13
421928;ALICE OPERADORA LTDA.;Paraíba;7
421928;ALICE OPERADORA LTDA.;Ceará;6
421928;ALICE OPERADORA LTDA.;Mato Grosso do Sul;6
421928;ALICE OPERADORA LTDA.;Rio Grande do Norte;5
421928;ALICE OPERADORA LTDA.;Goiás;4
421928;ALICE OPERADORA LTDA.;Pernambuco;4
421928;ALICE OPERADORA LTDA.;Rondônia;3
421928;ALICE OPERADORA LTDA.;Amazonas;2
421928;ALICE OPERADORA LTDA.;Maranhão;2
421928;ALICE OPERADORA LTDA.;Acre;1
421928;ALICE OPERADORA LTDA.;Sergipe;1
421928;ALICE OPERADORA LTDA.;Alagoas;0
421928;ALICE OPERADORA LTDA.;Amapá;0
421928;ALICE OPERADORA LTDA.;Espírito Santo;0
421928;ALICE OPERADORA LTDA.;Mato Grosso;0
421928;ALICE OPERADORA LTDA.;Pará;0
421928;ALICE OPERADORA LTDA.;Piauí;0
421928;ALICE OPERADORA LTDA.;Roraima;0
421928;ALICE OPERADORA LTDA.;Tocantins;0
000515;ALLIANZ SAUDE S/A;São Paulo;23929
000515;ALLIANZ SAUDE S/A;Rio de Janeiro;3584
000515;ALLIANZ SAUDE S/A;Minas Gerais;3448
000515;ALLIANZ SAUDE S/A;Não Identificado;672
000515;ALLIANZ SAUDE S/A;Paraná;344
000515;ALLIANZ SAUDE S/A;Bahia;320
000515;ALLIANZ SAUDE S/A;Amazonas;297
000515;ALLIANZ SAUDE S/A;Distrito Federal;263
000515;ALLIANZ SAUDE S/A;Pernambuco;131
000515;ALLIANZ SAUDE S/A;Rio Grande do Sul;110
000515;ALLIANZ SAUDE S/A;Santa Catarina;108
000515;ALLIANZ SAUDE S/A;Pará;100
000515;ALLIANZ SAUDE S/A;Goiás;95
000515;ALLIANZ SAUDE S/A;Espírito Santo;45
000515;ALLIANZ SAUDE S/A;Paraíba;24
000515;ALLIANZ SAUDE S/A;Sergipe;17
000515;ALLIANZ SAUDE S/A;Ceará;16
000515;ALLIANZ SAUDE S/A;Piauí;15
000515;ALLIANZ SAUDE S/A;Mato Grosso do Sul;12
000515;ALLIANZ SAUDE S/A;Rio Grande do Norte;11
000515;ALLIANZ SAUDE S/A;Mato Grosso;10
000515;ALLIANZ SAUDE S/A;Maranhão;9
000515;ALLIANZ SAUDE S/A;Alagoas;7
000515;ALLIANZ SAUDE S/A;Tocantins;3
000515;ALLIANZ SAUDE S/A;Rondônia;2
000515;ALLIANZ SAUDE S/A;Roraima;2
000515;ALLIANZ SAUDE S/A;Acre;1
000515;ALLIANZ SAUDE S/A;Amapá;1
422754;ALPHA SERVICOS DE SAUDE LTDA;Goiás;262
422754;ALPHA SERVICOS DE SAUDE LTDA;São Paulo;134
422754;ALPHA SERVICOS DE SAUDE LTDA;Rio de Janeiro;3
422754;ALPHA SERVICOS DE SAUDE LTDA;Paraná;1
422754;ALPHA SERVICOS DE SAUDE LTDA;Acre;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Alagoas;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Amapá;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Amazonas;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Bahia;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Ceará;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Distrito Federal;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Espírito Santo;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Maranhão;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Mato Grosso;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Mato Grosso do Sul;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Minas Gerais;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Pará;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Paraíba;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Pernambuco;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Piauí;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Rio Grande do Norte;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Rio Grande do Sul;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Rondônia;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Roraima;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Santa Catarina;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Sergipe;0
422754;ALPHA SERVICOS DE SAUDE LTDA;Tocantins;0
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;São Paulo;104002
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Minas Gerais;304
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Bahia;261
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Rio de Janeiro;241
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Distrito Federal;13
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Santa Catarina;9
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Paraná;8
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Pará;5
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Rio Grande do Sul;3
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Ceará;2
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Espírito Santo;2
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Sergipe;2
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Goiás;1
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Acre;0
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Alagoas;0
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Amapá;0
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Amazonas;0
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Maranhão;0
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Mato Grosso;0
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Mato Grosso do Sul;0
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Paraíba;0
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Pernambuco;0
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Piauí;0
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Rio Grande do Norte;0
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Rondônia;0
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Roraima;0
344800;ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS;Tocantins;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Pará;12405
419052;AMAZONIA PLANOS DE SAUDE LTDA;São Paulo;32
419052;AMAZONIA PLANOS DE SAUDE LTDA;Amapá;9
419052;AMAZONIA PLANOS DE SAUDE LTDA;Ceará;3
419052;AMAZONIA PLANOS DE SAUDE LTDA;Maranhão;2
419052;AMAZONIA PLANOS DE SAUDE LTDA;Pernambuco;2
419052;AMAZONIA PLANOS DE SAUDE LTDA;Paraíba;1
419052;AMAZONIA PLANOS DE SAUDE LTDA;Acre;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Alagoas;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Amazonas;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Bahia;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Distrito Federal;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Espírito Santo;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Goiás;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Mato Grosso;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Mato Grosso do Sul;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Minas Gerais;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Paraná;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Piauí;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Rio de Janeiro;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Rio Grande do Norte;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Rio Grande do Sul;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Rondônia;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Roraima;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Santa Catarina;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Sergipe;0
419052;AMAZONIA PLANOS DE SAUDE LTDA;Tocantins;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Minas Gerais;11384
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Rio de Janeiro;4
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Acre;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Alagoas;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Amapá;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Amazonas;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Bahia;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Ceará;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Distrito Federal;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Espírito Santo;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Goiás;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Maranhão;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Mato Grosso;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Mato Grosso do Sul;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Pará;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Paraíba;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Paraná;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Pernambuco;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Piauí;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Rio Grande do Norte;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Rio Grande do Sul;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Rondônia;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Roraima;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Santa Catarina;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;São Paulo;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Sergipe;0
304531;AME-ASSISTENCIA MEDICA A EMPRESAS LTDA;Tocantins;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Rio de Janeiro;27722
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Acre;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Alagoas;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Amapá;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Amazonas;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Bahia;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Ceará;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Distrito Federal;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Espírito Santo;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Goiás;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Maranhão;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Mato Grosso;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Mato Grosso do Sul;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Minas Gerais;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Pará;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Paraíba;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Paraná;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Pernambuco;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Piauí;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Rio Grande do Norte;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Rio Grande do Sul;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Rondônia;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Roraima;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Santa Catarina;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;São Paulo;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Sergipe;0
413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE;Tocantins;0
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;São Paulo;87699
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Minas Gerais;7
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Santa Catarina;3
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Paraíba;2
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Rio de Janeiro;2
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Rio Grande do Sul;2
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Bahia;1
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Goiás;1
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Mato Grosso do Sul;1
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Pará;1
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Paraná;1
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Pernambuco;1
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Acre;0
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Alagoas;0
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Amapá;0
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Amazonas;0
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Ceará;0
394734;AMEPLAN ASSISTENCIA MEDICA PLANEJADA LTDA;Distrito Federal;0
